Label,precision,recall,f1-score,support
Owner Device,0.999,1.0,1.0,4066.0
Tile Slim,1.0,0.991,0.996,448.0
,,,,
accuracy,0.999,0.999,0.999,0.999
macro avg,1.0,0.996,0.998,4514.0
weighted avg,0.999,0.999,0.999,4514.0
