Label,precision,recall,f1-score,support
Hama MGF,1.0,0.991,0.995,430.0
Owner Device,0.999,1.0,1.0,4801.0
,,,,
accuracy,0.999,0.999,0.999,0.999
macro avg,1.0,0.995,0.997,5231.0
weighted avg,0.999,0.999,0.999,5231.0
