Label,precision,recall,f1-score,support
Chipolo CARD [Apple],1.0,0.998,0.999,427.0
Owner Device,1.0,1.0,1.0,3513.0
,,,,
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,0.999,0.999,3940.0
weighted avg,1.0,1.0,1.0,3940.0
