Label,precision,recall,f1-score,support
KeySmart SmartCard,1.0,0.998,0.999,408.0
Owner Device,1.0,1.0,1.0,3425.0
,,,,
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,0.999,0.999,3833.0
weighted avg,1.0,1.0,1.0,3833.0
