Label,precision,recall,f1-score,support
Chipolo CARD [Google],1.0,0.991,0.995,437.0
Owner Device,0.999,1.0,0.999,2775.0
,,,,
accuracy,0.999,0.999,0.999,0.999
macro avg,0.999,0.995,0.997,3212.0
weighted avg,0.999,0.999,0.999,3212.0
